No.,Player Name,Position,Player_ID,Year,Country_Name,Nationality,Age,Height,Total Points,Average by Match,Attack Points,Efficiency,Attack Avg Points,Block Points,Block Success,Block Avg Points,Serve Points,Serve Success,Serve Avg Points
4.0,Rodrigues Pinto Otávio Henrique,MB,125010,2023,Brazil,Brazil,33.0,200,68,5.23,47,67.14%,3.62,13,16.25%,1.00,8,6.40%,0.62
6.0,Fernandes P.X.Cavalcante Adriano,OH,174908,2023,Brazil,Brazil,22.0,201,34,2.62,30,41.10%,2.31,3,12.50%,0.23,1,2.08%,0.08
8.0,Honorato Henrique Dantas Nóbrega,OH,161930,2023,Brazil,Brazil,27.0,190,97,7.46,77,42.08%,5.92,15,23.44%,1.15,5,3.52%,0.38
9.0,Leal Hidalgo Yoandy,OH,118928,2023,Brazil,Brazil,35.0,202,2,2.00,2,50.00%,2.00,0,0.00%,0.00,0,0.00%,0.00
14.0,Gil Kreling Fernando,S,142744,2023,Brazil,Brazil,28.0,186,1,0.08,1,33.33%,0.08,0,0.00%,0.00,0,0.00%,0.00
15.0,Nascimento Maique Reis,L,161939,2023,Brazil,Brazil,26.0,187,0,0.00,0,-,-,0,-,-,0,-,-
16.0,Saatkamp Lucas,MB,116081,2023,Brazil,Brazil,38.0,209,46,5.11,32,49.23%,3.56,9,14.06%,1.00,5,6.67%,0.56
17.0,Hoss Thales,L,118916,2023,Brazil,Brazil,34.0,190,0,0.00,0,-,-,0,-,-,0,-,-
18.0,Souza Ricardo Lucarelli,OH,136468,2023,Brazil,Brazil,32.0,196,185,14.23,154,49.36%,11.85,12,16.44%,0.92,19,9.18%,1.46
19.0,Moreira Roque Felipe,O,161921,2023,Brazil,Brazil,26.0,212,39,4.33,32,59.26%,3.56,6,35.29%,0.67,1,4.00%,0.11
21.0,Souza Alan,O,136947,2023,Brazil,Brazil,30.0,202,177,13.62,162,52.60%,12.46,8,8.99%,0.62,7,5.43%,0.54
23.0,Resende Gualberto Flavio,MB,136956,2023,Brazil,Brazil,30.0,199,80,6.15,56,61.54%,4.31,22,20.00%,1.69,2,1.79%,0.15
30.0,Nunes da Cunha Jr Judson Amabel,MB,187493,2023,Brazil,Brazil,25.0,204,51,3.92,45,72.58%,3.46,6,12.00%,0.46,0,0.00%,0.00
,Renan Dal Zotto,COACH,N/A,2023,Brazil,,,,,,,,,,,,,,
3.0,Kolev Nikolay,MB,173067,2023,Bulgaria,Bulgaria,26.0,204,54,4.50,41,63.08%,3.42,9,12.68%,0.75,4,4.71%,0.33
4.0,Atanasov Martin,OH,156676,2023,Bulgaria,Bulgaria,27.0,197,121,10.08,100,49.50%,8.33,13,24.53%,1.08,8,6.06%,0.67
5.0,Gotsev Svetoslav,MB,132035,2023,Bulgaria,Bulgaria,33.0,205,24,2.00,15,48.39%,1.25,9,28.12%,0.75,0,0.00%,0.00
8.0,Asparuhov Asparuh,OH,168269,2023,Bulgaria,Bulgaria,23.0,201,79,6.58,71,44.10%,5.92,6,17.65%,0.50,2,2.86%,0.17
9.0,Seganov Georgi,S,137012,2023,Bulgaria,Bulgaria,30.0,197,8,0.67,2,13.33%,0.17,5,12.50%,0.42,1,0.81%,0.08
10.0,Karyagin Denis,OH,174445,2023,Bulgaria,Bulgaria,21.0,206,42,3.50,36,43.90%,3.00,5,21.74%,0.42,1,2.38%,0.08
11.0,Grozdanov Aleks,MB,152619,2023,Bulgaria,Bulgaria,25.0,208,79,6.58,53,54.64%,4.42,23,23.96%,1.92,3,2.01%,0.25
12.0,Dimitrov Dimitar,O,180587,2023,Bulgaria,Bulgaria,23.0,208,82,6.83,69,37.10%,5.75,8,25.81%,0.67,5,5.10%,0.42
13.0,Salparov Teodor,L,113691,2023,Bulgaria,Bulgaria,41.0,187,0,0.00,0,-,-,0,-,-,0,-,-
14.0,Bozhilov Martin,L,135372,2023,Bulgaria,Bulgaria,35.0,190,0,0.00,0,-,-,0,-,-,0,-,-
15.0,Raev Delcho,S,124986,2023,Bulgaria,Bulgaria,33.0,185,0,0.00,0,-,-,0,0.00%,0.00,0,0.00%,0.00
17.0,Penchev Nikolay,OH,132033,2023,Bulgaria,Bulgaria,31.0,197,15,1.88,13,36.11%,1.62,2,14.29%,0.25,0,0.00%,0.00
20.0,Bratoev Valentin,OH,118486,2023,Bulgaria,Bulgaria,36.0,203,7,1.75,5,29.41%,1.25,1,14.29%,0.25,1,4.55%,0.25
24.0,Petkov Iliya,MB,168268,2023,Bulgaria,Bulgaria,27.0,200,17,1.42,12,54.55%,1.00,2,10.53%,0.17,3,5.77%,0.25
,Plamen Konstantinov,COACH,N/A,2023,Bulgaria,,,,,,,,,,,,,,
1.0,Eshenko Pearson,MB,157324,2023,Canada,Canada,26.0,204,39,3.25,31,62.00%,2.58,6,9.23%,0.50,2,2.33%,0.17
2.0,Herr Luke,S,165212,2023,Canada,Canada,29.0,192,13,1.08,2,50.00%,0.17,8,18.18%,0.67,3,2.63%,0.25
4.0,Hoag Nicholas,OH,136291,2023,Canada,Canada,31.0,200,98,8.17,84,42.21%,7.00,4,9.09%,0.33,10,5.92%,0.83
5.0,Hofer Brodie,OH,168914,2023,Canada,Canada,23.0,200,19,1.58,18,36.00%,1.50,0,0.00%,0.00,1,2.78%,0.08
6.0,Demyanenko Danny,MB,140042,2023,Canada,Canada,29.0,196,80,6.67,57,61.96%,4.75,16,16.16%,1.33,7,5.11%,0.58
7.0,Maar Stephen Timothy,OH,140061,2023,Canada,Canada,29.0,201,140,11.67,117,41.49%,9.75,15,20.55%,1.25,8,6.84%,0.67
8.0,Walsh Brett James,S,143745,2023,Canada,Canada,30.0,196,3,0.38,0,-,-,1,7.69%,0.12,2,8.70%,0.25
10.0,Sclater Ryan Joseph,O,140428,2023,Canada,Canada,30.0,200,132,11.00,114,47.11%,9.50,11,24.44%,0.92,7,7.22%,0.58
12.0,Van Berkel Lucas,MB,136296,2023,Canada,Canada,32.0,210,39,3.25,30,53.57%,2.50,9,10.47%,0.75,0,0.00%,0.00
13.0,Cooper Samuel,OH,182679,2023,Canada,Canada,22.0,200,27,3.38,21,42.86%,2.62,2,50.00%,0.25,4,25.00%,0.50
